geoid,name,households,working_age_hh,mhi,wahi,ratio,share_65plus_pct,share_under25_pct,reliable,flag,gap_anchored_mhi,gap_anchored_wahi,gap_anchored_ami
47187,Williamson County,92214,67679,135594,154047,1.1336,24.9,1.7,1,0,981,1551,151
1835302,Huntington city,7009,4657,56520,62942,1.1336,24.3,9.2,1,0,259,434,349
0137000,Huntsville city,95310,65137,74714,84687,1.1335,25.0,6.6,1,0,3551,4217,2440
06105,Trinity County,5585,2785,53002,58591,1.1335,49.0,1.2,0,0,-41,11,103
37017,Bladen County,11824,6982,42422,47325,1.1335,37.5,3.5,1,0,-153,-12,278
3421450,Emerson borough,2636,1674,155536,177252,1.1335,36.5,0.0,1,0,10,5,9
5510375,Brown Deer village,5818,3855,93974,102237,1.1335,29.6,4.1,0,0,57,104,107
0639496,Lake Forest city,30466,22792,135175,154774,1.1335,23.4,1.8,1,0,-427,48,96
0134024,Helena city,7613,5972,115139,133581,1.1334,20.5,1.1,1,0,-43,-2,-62
26021,Berrien County,63999,40849,65425,74636,1.1334,32.3,3.9,1,0,1152,1750,1086
3604198,Baldwinsville village,3689,2298,77241,89032,1.1334,34.0,3.7,1,0,72,118,142
72009,Aibonito Municipio,9777,5632,21744,25080,1.1334,41.6,0.8,0,0,-13,61,162
4073250,The Village city,4755,3246,77108,87184,1.1334,25.3,6.5,1,0,125,139,132
0649670,Mountain View city,35767,28576,189917,215758,1.1334,17.0,3.1,0,0,1033,1651,938
40077,Latimer County,3901,2360,41405,47471,1.1333,34.6,4.9,0,0,95,113,57
29081,Harrison County,3195,1954,54367,62143,1.1333,34.5,4.4,1,0,147,119,138
3730120,Havelock city,6000,4338,58408,66260,1.1333,10.9,16.8,0,0,-317,-271,227
26089,Leelanau County,9645,4979,99422,112973,1.1333,48.0,0.4,1,0,42,45,48
56005,Campbell County,17988,13094,89869,103262,1.1332,22.0,5.2,1,0,476,369,281
3103950,Bellevue city,25390,17638,85462,97071,1.1332,25.1,5.5,1,0,910,784,529
3915000,Cincinnati city,144297,101088,52909,60404,1.1332,20.5,9.5,1,0,-1084,1409,3310
4807552,Benbrook city,10062,6835,86292,99222,1.1332,29.1,3.0,1,0,-134,91,102
4801000,Abilene city,46917,30800,62648,71909,1.1332,23.9,10.5,1,0,566,1136,1310
4748980,Millersville city,2372,1767,71789,81612,1.1332,23.7,1.8,0,0,-83,16,60
56003,Big Horn County,4460,2672,62101,73005,1.1331,36.9,3.2,1,0,184,172,81
5585300,West Allis city,28311,20010,67611,76153,1.133,25.8,3.5,1,0,1040,1329,865
13305,Wayne County,11061,7598,53427,61402,1.133,27.7,3.6,0,0,245,714,735
0467800,Snowflake town,1782,1202,76174,87854,1.133,30.6,2.0,0,0,28,2,28
4021900,Duncan city,9492,5858,58054,64990,1.133,32.7,5.6,1,0,125,271,365
3665508,Schenectady city,29184,20437,58399,65795,1.1329,24.3,5.7,1,0,-899,-329,327
46043,Douglas County,1138,658,86442,98478,1.1329,35.0,7.2,1,0,57,49,34
0602252,Antioch city,37381,27729,97465,111324,1.1329,24.4,1.4,1,0,-1076,-1450,467
26047,Emmet County,15190,9192,78112,89477,1.1328,34.8,4.7,1,0,353,360,297
47165,Sumner County,78582,55476,90301,102798,1.1328,25.7,3.7,1,0,1002,1364,864
3931150,Grafton village,853,626,90724,101739,1.1328,25.9,0.7,0,0,25,24,22
47105,Loudon County,24056,13659,84185,95199,1.1328,40.9,2.3,1,0,561,454,385
2582000,Worcester city,79501,58654,70102,78812,1.1328,21.0,5.2,1,0,-2509,-2223,672
4211272,Carlisle borough,9223,6165,61720,70793,1.1327,26.4,6.7,0,0,208,289,175
53067,Thurston County,118899,80578,96563,109097,1.1327,28.4,3.8,1,0,-1516,-886,-335
2140222,Jeffersontown city,12479,8167,81506,93802,1.1327,32.2,2.4,1,0,411,336,387
56027,Niobrara County,1188,617,64113,70885,1.1327,44.5,3.5,0,0,134,116,38
48177,Gonzales County,7926,5366,58672,65663,1.1327,28.0,4.3,1,0,232,295,442
24041,Talbot County,16433,9107,84811,96863,1.1327,43.7,0.9,1,0,206,176,75
0849600,Mead town,1978,1536,125357,141912,1.1327,22.3,0.0,0,0,-18,0,-18
